Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2025-11-06T16:25:52.008;87;17,8
2025-11-06T16:25:52.988;89;18,6
2025-11-06T16:25:54.010;90;18,4
2025-11-06T16:25:54.990;90;18,4
2025-11-06T16:25:56.053;90;18,4
2025-11-06T16:25:57.078;88;19,5
2025-11-06T16:25:58.013;87;17,9
2025-11-06T16:25:59.078;85;17,9
2025-11-06T16:26:00.005;84;17,7
2025-11-06T16:26:00.985;84;17,3
2025-11-06T16:26:02.053;84;17,6
2025-11-06T16:26:02.979;84;17,8
2025-11-06T16:26:04.004;85;17,9
2025-11-06T16:26:05.031;86;18,5
2025-11-06T16:26:05.999;87;18,4
2025-11-06T16:26:06.975;88;17,5
2025-11-06T16:26:08.017;88;15,9
2025-11-06T16:26:08.975;88;16,3
2025-11-06T16:26:09.998;86;16,9
2025-11-06T16:26:10.976;86;16,9
2025-11-06T16:26:11.997;86;16,9
2025-11-06T16:26:12.970;87;16,1
2025-11-06T16:26:14.001;89;17,2
2025-11-06T16:26:14.974;90;17,2
2025-11-06T16:26:15.999;90;18,5
2025-11-06T16:26:17.019;89;15,7
2025-11-06T16:26:17.992;87;15,7
2025-11-06T16:26:18.993;87;15,7
2025-11-06T16:26:20.039;87;16,3
2025-11-06T16:26:20.965;87;16,3
2025-11-06T16:26:22.005;87;15,9
2025-11-06T16:26:23.028;87;15,4
2025-11-06T16:26:23.990;87;15,3
2025-11-06T16:26:24.964;86;14,7
2025-11-06T16:26:26.044;86;14,7
2025-11-06T16:26:27.011;87;15,6
2025-11-06T16:26:27.985;88;16,2
2025-11-06T16:26:28.960;89;15,2
2025-11-06T16:26:30.033;89;15,4
2025-11-06T16:26:31.009;88;16,2
2025-11-06T16:26:31.983;87;16,4
2025-11-06T16:26:33.055;86;17,4
2025-11-06T16:26:34.081;85;16,0
2025-11-06T16:26:35.012;84;15,9
2025-11-06T16:26:35.983;83;15,9
2025-11-06T16:26:37.008;84;16,8
2025-11-06T16:26:38.031;84;16,4
2025-11-06T16:26:39.009;86;16,7
2025-11-06T16:26:40.030;87;16,3
2025-11-06T16:26:41.004;89;16,3
2025-11-06T16:26:41.980;89;16,4
2025-11-06T16:26:43.003;89;16,5
2025-11-06T16:26:43.976;89;16,6
2025-11-06T16:26:45.011;88;17,6
2025-11-06T16:26:45.977;87;17,6
2025-11-06T16:26:47.004;86;17,6
2025-11-06T16:26:47.978;86;16,0
2025-11-06T16:26:49.001;87;16,2
2025-11-06T16:26:50.031;88;16,5
2025-11-06T16:26:50.997;88;15,7
2025-11-06T16:26:51.972;89;15,3
2025-11-06T16:26:53.047;89;14,0
2025-11-06T16:26:54.029;87;18,7
2025-11-06T16:26:55.044;85;19,3
2025-11-06T16:26:55.969;84;19,3
2025-11-06T16:26:56.996;84;19,1
2025-11-06T16:26:57.976;83;16,6
2025-11-06T16:26:58.992;84;18,6
2025-11-06T16:27:00.016;85;18,2
2025-11-06T16:27:00.997;85;18,2
2025-11-06T16:27:01.966;86;18,1
2025-11-06T16:27:03.004;86;18,1
2025-11-06T16:27:04.064;86;17,9
2025-11-06T16:27:04.987;86;16,9
2025-11-06T16:27:05.966;86;17,0
2025-11-06T16:27:06.993;85;17,0
2025-11-06T16:27:07.985;85;16,9
2025-11-06T16:27:09.137;86;17,4
2025-11-06T16:27:10.012;87;16,8
2025-11-06T16:27:10.988;87;16,8
2025-11-06T16:27:12.009;89;17,9
2025-11-06T16:27:12.985;90;17,9
2025-11-06T16:27:14.007;91;12,9
2025-11-06T16:27:14.981;91;11,9
2025-11-06T16:27:16.007;88;19,4
2025-11-06T16:27:17.191;87;19,4
2025-11-06T16:27:18.004;85;19,8
2025-11-06T16:27:18.985;83;17,8
2025-11-06T16:27:20.054;83;18,3
2025-11-06T16:27:20.981;82;18,4
2025-11-06T16:27:22.007;83;18,9
2025-11-06T16:27:23.078;84;19,4
2025-11-06T16:27:24.002;84;19,5
2025-11-06T16:27:24.979;84;19,5
2025-11-06T16:27:26.051;86;19,5
2025-11-06T16:27:26.979;86;19,5
2025-11-06T16:27:28.002;87;19,5
2025-11-06T16:27:28.976;87;19,6
2025-11-06T16:27:30.045;88;19,0
2025-11-06T16:27:30.976;87;20,4
2025-11-06T16:27:32.002;86;20,4
2025-11-06T16:27:32.974;86;19,4
2025-11-06T16:27:33.999;87;19,5
2025-11-06T16:27:34.973;89;17,9
2025-11-06T16:27:35.997;89;14,9
2025-11-06T16:27:36.972;92;14,7
2025-11-06T16:27:37.997;93;14,7
2025-11-06T16:27:38.966;95;14,2
2025-11-06T16:27:39.990;96;14,1
2025-11-06T16:27:40.970;95;13,6
2025-11-06T16:27:42.045;95;13,0
2025-11-06T16:27:42.968;95;12,9
2025-11-06T16:27:44.037;94;12,8
2025-11-06T16:27:45.016;93;12,9
2025-11-06T16:27:46.041;92;12,9
2025-11-06T16:27:46.967;92;12,9
2025-11-06T16:27:48.102;92;12,8
2025-11-06T16:27:48.963;91;13,0
2025-11-06T16:27:50.035;90;10,7
2025-11-06T16:27:51.062;90;10,7
2025-11-06T16:27:51.988;89;10,7
2025-11-06T16:27:53.014;89;10,5
2025-11-06T16:27:53.987;89;6,4
2025-11-06T16:27:55.007;88;6,1
2025-11-06T16:27:55.982;88;7,3
2025-11-06T16:27:57.057;87;6,8
2025-11-06T16:27:57.982;86;6,9
2025-11-06T16:27:59.103;86;6,9
2025-11-06T16:28:00.035;85;7,0
2025-11-06T16:28:01.009;85;6,8
2025-11-06T16:28:01.982;85;6,4
2025-11-06T16:28:03.007;85;6,5
2025-11-06T16:28:03.975;86;6,9
2025-11-06T16:28:05.052;86;6,7
2025-11-06T16:28:05.979;86;8,1
2025-11-06T16:28:07.002;85;8,4
2025-11-06T16:28:07.977;84;8,4
2025-11-06T16:28:09.147;84;8,3
2025-11-06T16:28:09.973;85;9,2
2025-11-06T16:28:10.998;85;9,3
2025-11-06T16:28:12.024;86;9,4
2025-11-06T16:28:12.997;87;9,4
2025-11-06T16:28:13.972;88;9,4
2025-11-06T16:28:14.998;88;9,4
2025-11-06T16:28:15.970;87;13,3
2025-11-06T16:28:16.997;86;12,6
2025-11-06T16:28:18.020;85;12,6
2025-11-06T16:28:18.997;84;12,6
2025-11-06T16:28:19.965;84;12,6
2025-11-06T16:28:21.106;85;14,3
2025-11-06T16:28:21.964;85;14,3
2025-11-06T16:28:22.987;86;14,4
2025-11-06T16:28:23.965;87;14,9
2025-11-06T16:28:24.999;88;14,9
