Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2025-11-24T17:37:41.822;88;21,3
2025-11-24T17:37:42.633;88;21,2
2025-11-24T17:37:44.252;88;21,2
2025-11-24T17:37:44.654;88;21,2
2025-11-24T17:37:46.279;85;23,1
2025-11-24T17:37:46.683;84;22,9
2025-11-24T17:37:47.493;85;24,9
2025-11-24T17:37:48.708;86;25,9
2025-11-24T17:37:49.516;88;25,4
2025-11-24T17:37:50.730;88;25,4
2025-11-24T17:37:51.544;88;25,7
2025-11-24T17:37:52.760;89;23,4
2025-11-24T17:37:53.566;90;23,9
2025-11-24T17:37:55.592;91;24,2
2025-11-24T17:37:56.410;93;22,3
2025-11-24T17:37:56.809;93;22,1
2025-11-24T17:37:57.615;89;26,9
2025-11-24T17:37:58.833;87;26,9
2025-11-24T17:37:59.640;87;26,7
2025-11-24T17:38:00.857;87;26,3
2025-11-24T17:38:01.666;87;26,3
2025-11-24T17:38:02.883;86;25,7
2025-11-24T17:38:04.098;87;25,7
2025-11-24T17:38:04.908;87;24,4
2025-11-24T17:38:05.716;90;24,6
2025-11-24T17:38:07.338;91;24,6
2025-11-24T17:38:07.741;92;22,6
2025-11-24T17:38:08.554;89;25,4
2025-11-24T17:38:09.766;88;25,4
2025-11-24T17:38:10.579;87;25,2
2025-11-24T17:38:11.792;88;26,3
2025-11-24T17:38:12.602;89;26,9
2025-11-24T17:38:14.633;90;26,5
2025-11-24T17:38:14.636;89;27,0
2025-11-24T17:38:15.843;89;27,0
2025-11-24T17:38:16.650;89;21,9
2025-11-24T17:38:17.870;89;21,4
2025-11-24T17:38:18.680;90;21,4
2025-11-24T17:38:19.894;88;21,3
2025-11-24T17:38:20.702;87;22,6
2025-11-24T17:38:21.512;85;22,6
2025-11-24T17:38:22.728;85;23,8
2025-11-24T17:38:23.536;87;24,7
2025-11-24T17:38:24.753;87;24,2
2025-11-24T17:38:25.970;87;23,7
2025-11-24T17:38:26.778;86;24,6
2025-11-24T17:38:27.590;85;24,6
2025-11-24T17:38:28.807;86;21,1
2025-11-24T17:38:29.612;87;21,1
2025-11-24T17:38:30.828;87;21,0
2025-11-24T17:38:32.853;87;20,0
2025-11-24T17:38:32.855;87;19,3
2025-11-24T17:38:33.661;87;19,3
2025-11-24T17:38:34.878;88;19,6
2025-11-24T17:38:35.690;88;18,4
2025-11-24T17:38:37.307;87;19,4
2025-11-24T17:38:37.714;85;20,1
2025-11-24T17:38:38.522;85;20,1
2025-11-24T17:38:39.739;86;20,9
2025-11-24T17:38:40.549;87;19,2
2025-11-24T17:38:41.760;87;19,4
2025-11-24T17:38:42.571;87;18,5
2025-11-24T17:38:43.786;86;17,3
2025-11-24T17:38:44.597;86;17,4
2025-11-24T17:38:45.815;88;17,3
2025-11-24T17:38:46.622;89;17,3
2025-11-24T17:38:49.053;89;17,3
2025-11-24T17:38:49.055;87;20,0
2025-11-24T17:38:49.863;86;20,0
2025-11-24T17:38:50.669;87;22,1
2025-11-24T17:38:51.889;89;23,7
2025-11-24T17:38:52.699;98;24,8
2025-11-24T17:38:53.508;100;24,7
2025-11-24T17:38:54.723;103;24,7
2025-11-24T17:38:55.533;102;24,4
2025-11-24T17:38:56.747;98;26,3
2025-11-24T17:38:57.558;96;25,7
2025-11-24T17:38:58.773;95;24,7
2025-11-24T17:38:59.581;95;25,0
2025-11-24T17:39:00.798;96;24,9
2025-11-24T17:39:01.608;96;24,4
2025-11-24T17:39:02.824;96;24,4
2025-11-24T17:39:03.631;96;23,8
2025-11-24T17:39:04.847;97;23,6
2025-11-24T17:39:05.655;98;23,6
2025-11-24T17:39:06.873;99;22,6
2025-11-24T17:39:08.494;97;20,7
2025-11-24T17:39:08.496;89;32,0
2025-11-24T17:39:09.707;87;31,1
2025-11-24T17:39:10.520;85;29,6
2025-11-24T17:39:12.139;84;29,5
2025-11-24T17:39:12.543;85;30,1
2025-11-24T17:39:13.759;86;30,7
2025-11-24T17:39:14.568;88;30,4
2025-11-24T17:39:16.188;88;29,1
2025-11-24T17:39:18.214;86;31,8
2025-11-24T17:39:18.217;85;31,8
2025-11-24T17:39:18.616;85;32,0
2025-11-24T17:39:19.832;85;32,8
2025-11-24T17:39:20.641;86;32,8
2025-11-24T17:39:21.857;87;32,8
2025-11-24T17:39:22.666;87;33,1
2025-11-24T17:39:23.885;86;33,2
2025-11-24T17:39:24.694;87;33,9
2025-11-24T17:39:26.313;88;34,1
2025-11-24T17:39:26.718;89;34,3
2025-11-24T17:39:27.528;90;34,3
2025-11-24T17:39:28.744;88;31,5
2025-11-24T17:39:29.553;86;33,3
2025-11-24T17:39:31.173;83;33,3
2025-11-24T17:39:31.576;83;33,6
2025-11-24T17:39:32.796;84;35,3
2025-11-24T17:39:34.003;86;35,3
2025-11-24T17:39:35.223;88;35,7
2025-11-24T17:39:35.628;90;35,7
2025-11-24T17:39:36.843;89;38,7
2025-11-24T17:39:38.464;85;39,9
2025-11-24T17:39:38.868;84;39,9
2025-11-24T17:39:39.673;84;40,3
2025-11-24T17:39:40.894;85;40,6
2025-11-24T17:39:41.703;86;40,6
2025-11-24T17:39:42.513;85;40,6
2025-11-24T17:39:43.728;84;40,5
2025-11-24T17:39:44.540;85;41,0
2025-11-24T17:39:45.752;88;40,8
2025-11-24T17:39:46.562;90;40,9
2025-11-24T17:39:48.185;93;40,9
2025-11-24T17:39:48.589;93;35,4
2025-11-24T17:39:49.805;92;35,0
2025-11-24T17:39:50.611;90;35,0
2025-11-24T17:39:51.827;90;32,8
2025-11-24T17:39:53.037;90;32,3
2025-11-24T17:39:53.852;91;31,7
2025-11-24T17:39:54.664;92;31,1
2025-11-24T17:39:55.877;90;33,2
2025-11-24T17:39:56.688;87;25,7
2025-11-24T17:39:58.308;86;25,7
2025-11-24T17:39:58.712;87;26,7
2025-11-24T17:39:59.523;87;25,0
2025-11-24T17:40:01.548;88;25,0
2025-11-24T17:40:01.953;87;25,0
2025-11-24T17:40:02.765;87;24,9
2025-11-24T17:40:03.570;88;25,2
2025-11-24T17:40:04.787;89;24,9
2025-11-24T17:40:06.003;90;23,7
2025-11-24T17:40:06.811;89;23,6
2025-11-24T17:40:07.621;87;29,3
