Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2025-11-06T16:01:45.987;85;31,5
2025-11-06T16:01:47.007;84;31,6
2025-11-06T16:01:47.984;83;26,8
2025-11-06T16:01:49.009;83;25,7
2025-11-06T16:01:50.032;85;26,6
2025-11-06T16:01:51.007;85;19,9
2025-11-06T16:01:51.981;88;20,6
2025-11-06T16:01:53.006;88;17,9
2025-11-06T16:01:53.982;89;17,9
2025-11-06T16:01:55.003;87;19,7
2025-11-06T16:01:56.029;86;17,7
2025-11-06T16:01:57.001;86;17,7
2025-11-06T16:01:58.025;85;17,6
2025-11-06T16:01:59.002;86;17,7
2025-11-06T16:02:00.023;86;18,4
2025-11-06T16:02:01.004;88;18,4
2025-11-06T16:02:02.039;88;18,3
2025-11-06T16:02:02.999;89;17,7
2025-11-06T16:02:04.071;89;17,8
2025-11-06T16:02:04.995;89;17,8
2025-11-06T16:02:06.024;88;17,3
2025-11-06T16:02:06.995;88;16,6
2025-11-06T16:02:08.019;88;16,6
2025-11-06T16:02:08.993;89;14,5
2025-11-06T16:02:10.018;89;15,1
2025-11-06T16:02:10.994;92;14,7
2025-11-06T16:02:12.017;93;14,7
2025-11-06T16:02:12.995;94;14,8
2025-11-06T16:02:14.017;93;13,8
2025-11-06T16:02:14.990;90;26,0
2025-11-06T16:02:16.014;89;26,0
2025-11-06T16:02:16.996;86;26,0
2025-11-06T16:02:18.013;84;26,0
2025-11-06T16:02:18.988;84;28,9
2025-11-06T16:02:20.014;86;28,5
2025-11-06T16:02:20.987;87;28,6
2025-11-06T16:02:22.011;90;29,1
2025-11-06T16:02:23.036;91;29,1
2025-11-06T16:02:24.011;92;30,0
2025-11-06T16:02:25.050;91;30,0
2025-11-06T16:02:26.008;91;30,0
2025-11-06T16:02:26.984;90;30,0
2025-11-06T16:02:28.005;89;30,0
2025-11-06T16:02:28.983;89;29,8
2025-11-06T16:02:30.006;89;29,2
2025-11-06T16:02:30.980;88;29,2
2025-11-06T16:02:32.007;89;29,2
2025-11-06T16:02:32.981;89;29,4
2025-11-06T16:02:34.012;90;17,8
2025-11-06T16:02:34.984;90;18,8
2025-11-06T16:02:36.002;90;18,8
2025-11-06T16:02:36.978;90;19,1
2025-11-06T16:02:38.003;91;14,5
2025-11-06T16:02:39.123;93;14,0
2025-11-06T16:02:39.999;94;13,7
2025-11-06T16:02:41.022;95;12,8
2025-11-06T16:02:42.000;96;12,8
2025-11-06T16:02:43.024;95;14,5
2025-11-06T16:02:44.045;92;23,8
2025-11-06T16:02:45.022;88;23,8
2025-11-06T16:02:45.995;87;23,8
2025-11-06T16:02:47.020;86;24,0
2025-11-06T16:02:47.996;86;25,0
2025-11-06T16:02:49.018;87;25,3
2025-11-06T16:02:49.993;88;25,4
2025-11-06T16:02:51.166;89;25,5
2025-11-06T16:02:51.998;89;25,4
2025-11-06T16:02:53.074;89;25,8
2025-11-06T16:02:53.992;89;25,8
2025-11-06T16:02:55.111;88;25,0
2025-11-06T16:02:56.043;89;25,6
2025-11-06T16:02:57.021;90;25,7
2025-11-06T16:02:57.989;92;25,6
2025-11-06T16:02:59.012;92;25,2
2025-11-06T16:02:59.987;93;25,3
2025-11-06T16:03:01.012;92;25,4
2025-11-06T16:03:01.993;91;26,5
2025-11-06T16:03:03.012;89;15,5
2025-11-06T16:03:03.985;89;15,4
2025-11-06T16:03:05.009;88;15,4
2025-11-06T16:03:05.985;89;15,7
2025-11-06T16:03:07.006;89;14,3
2025-11-06T16:03:07.983;91;14,4
2025-11-06T16:03:09.055;92;14,3
2025-11-06T16:03:09.990;93;14,0
2025-11-06T16:03:11.055;92;15,3
2025-11-06T16:03:11.980;92;14,5
2025-11-06T16:03:13.007;88;16,4
2025-11-06T16:03:13.977;86;16,4
2025-11-06T16:03:15.003;86;17,7
2025-11-06T16:03:16.036;87;17,2
2025-11-06T16:03:17.003;88;17,0
2025-11-06T16:03:17.976;88;17,0
2025-11-06T16:03:18.999;89;17,0
2025-11-06T16:03:20.024;88;18,0
2025-11-06T16:03:21.011;88;18,0
2025-11-06T16:03:22.022;86;16,9
2025-11-06T16:03:23.001;85;16,9
2025-11-06T16:03:24.021;86;19,0
2025-11-06T16:03:24.998;87;19,1
2025-11-06T16:03:26.023;88;18,8
2025-11-06T16:03:26.997;88;18,6
2025-11-06T16:03:28.020;90;18,7
2025-11-06T16:03:29.043;92;18,7
2025-11-06T16:03:30.029;93;18,1
2025-11-06T16:03:30.992;94;17,6
2025-11-06T16:03:32.015;94;16,9
2025-11-06T16:03:32.992;94;16,1
2025-11-06T16:03:34.025;90;21,3
2025-11-06T16:03:34.989;88;20,2
2025-11-06T16:03:36.014;87;21,6
2025-11-06T16:03:37.046;91;24,8
2025-11-06T16:03:38.013;93;25,2
2025-11-06T16:03:39.134;96;25,2
2025-11-06T16:03:40.012;98;24,4
2025-11-06T16:03:40.984;99;35,6
2025-11-06T16:03:42.010;98;43,4
2025-11-06T16:03:42.991;97;43,4
2025-11-06T16:03:44.069;91;43,5
2025-11-06T16:03:44.983;90;45,2
2025-11-06T16:03:46.009;90;45,7
2025-11-06T16:03:46.982;92;45,9
2025-11-06T16:03:48.005;93;45,8
2025-11-06T16:03:48.981;94;45,8
2025-11-06T16:03:50.004;94;45,9
2025-11-06T16:03:50.978;94;46,0
2025-11-06T16:03:52.003;94;45,9
2025-11-06T16:03:52.994;92;45,8
2025-11-06T16:03:54.002;89;44,7
2025-11-06T16:03:54.980;89;44,8
2025-11-06T16:03:56.001;89;44,2
2025-11-06T16:03:56.992;90;42,7
2025-11-06T16:03:57.999;91;42,4
2025-11-06T16:03:59.023;92;42,4
2025-11-06T16:03:59.998;92;33,5
2025-11-06T16:04:01.024;93;22,0
2025-11-06T16:04:02.006;92;22,5
2025-11-06T16:04:03.021;91;20,6
2025-11-06T16:04:03.995;91;16,4
2025-11-06T16:04:05.023;91;14,7
2025-11-06T16:04:05.996;91;14,3
2025-11-06T16:04:07.024;92;14,2
2025-11-06T16:04:07.995;93;14,2
2025-11-06T16:04:09.015;95;14,4
2025-11-06T16:04:09.992;97;14,3
2025-11-06T16:04:11.023;97;14,3
2025-11-06T16:04:11.988;94;16,8
2025-11-06T16:04:13.012;93;17,1
2025-11-06T16:04:13.991;91;17,1
2025-11-06T16:04:15.017;89;16,2
