Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-02-26T16:05:49.558;83;42,0
2026-02-26T16:05:50.366;82;38,6
2026-02-26T16:05:51.582;79;43,9
2026-02-26T16:05:52.394;79;43,4
2026-02-26T16:05:53.606;79;44,5
2026-02-26T16:05:54.421;80;45,0
2026-02-26T16:05:55.630;80;44,9
2026-02-26T16:05:56.441;80;39,4
2026-02-26T16:05:57.657;79;39,4
2026-02-26T16:05:58.467;79;38,8
2026-02-26T16:05:59.682;81;38,0
2026-02-26T16:06:00.492;82;38,0
2026-02-26T16:06:01.708;82;37,8
2026-02-26T16:06:02.517;80;46,4
2026-02-26T16:06:03.327;79;46,4
2026-02-26T16:06:04.541;78;46,8
2026-02-26T16:06:05.352;78;47,0
2026-02-26T16:06:06.567;79;47,2
2026-02-26T16:06:07.782;80;47,2
2026-02-26T16:06:08.997;80;47,4
2026-02-26T16:06:09.808;79;47,4
2026-02-26T16:06:10.617;80;47,7
2026-02-26T16:06:11.430;81;47,7
2026-02-26T16:06:12.642;81;47,7
2026-02-26T16:06:13.449;80;45,6
2026-02-26T16:06:14.664;79;45,6
2026-02-26T16:06:15.474;79;43,9
2026-02-26T16:06:16.690;79;45,1
2026-02-26T16:06:17.503;80;45,4
2026-02-26T16:06:18.313;83;43,8
2026-02-26T16:06:19.526;84;43,8
2026-02-26T16:06:20.336;83;43,1
2026-02-26T16:06:21.551;81;47,9
2026-02-26T16:06:22.362;80;47,9
2026-02-26T16:06:23.577;80;48,9
2026-02-26T16:06:25.193;80;40,0
2026-02-26T16:06:25.600;81;40,0
2026-02-26T16:06:26.818;79;40,9
2026-02-26T16:06:28.029;78;39,0
2026-02-26T16:06:28.437;77;38,7
2026-02-26T16:06:29.652;78;40,8
2026-02-26T16:06:30.462;80;41,4
2026-02-26T16:06:32.083;81;41,4
2026-02-26T16:06:32.487;83;41,2
2026-02-26T16:06:33.296;83;41,2
2026-02-26T16:06:34.512;84;38,1
2026-02-26T16:06:35.727;85;38,4
2026-02-26T16:06:36.537;87;38,8
2026-02-26T16:06:37.750;89;37,8
2026-02-26T16:06:38.561;90;36,3
2026-02-26T16:06:39.373;81;52,9
2026-02-26T16:06:40.991;79;52,9
2026-02-26T16:06:41.398;78;52,4
2026-02-26T16:06:42.609;78;48,9
2026-02-26T16:06:43.437;79;50,5
2026-02-26T16:06:44.637;82;50,7
2026-02-26T16:06:46.257;82;50,6
2026-02-26T16:06:46.663;81;54,0
2026-02-26T16:06:48.284;79;53,2
2026-02-26T16:06:48.687;79;53,2
2026-02-26T16:06:50.307;80;54,6
2026-02-26T16:06:50.312;82;54,2
2026-02-26T16:06:51.522;82;53,6
2026-02-26T16:06:52.332;82;53,5
2026-02-26T16:06:53.548;80;57,3
2026-02-26T16:06:54.357;79;57,2
2026-02-26T16:06:55.571;79;58,7
2026-02-26T16:06:56.383;81;59,7
2026-02-26T16:06:57.596;82;59,7
2026-02-26T16:06:58.408;83;59,5
2026-02-26T16:06:59.623;83;61,5
2026-02-26T16:07:00.438;81;61,9
2026-02-26T16:07:01.648;81;48,1
2026-02-26T16:07:02.456;81;49,4
2026-02-26T16:07:03.672;82;49,5
2026-02-26T16:07:04.481;83;47,8
